D,J_mean,chi_mean,sdot_mean,phi_mean_mean,mean_degree_mean,model,match_method,N,k,k_label,matched_R
0.005,3.983013167977333,0.6585743017494678,2.0597906708717346,0.8909363821148872,5.0,topological,count,2048,5,k=5,0.6714
0.006875,2.7278615199029446,1.3156110420823097,2.080963671207428,0.8552731871604919,5.0,topological,count,2048,5,k=5,0.6714
0.0075,2.9640206694602966,1.0485922247171402,2.084819257259369,0.8587388098239899,5.0,topological,count,2048,5,k=5,0.6714
0.00875,2.4257955104112625,1.4242596440017223,2.0966114699840546,0.8395788744091988,5.0,topological,count,2048,5,k=5,0.6714
0.01,1.2684572450816631,2.1093463599681854,2.1122130751609802,0.817542627453804,5.0,topological,count,2048,5,k=5,0.6714
0.010625,1.4947992488741875,1.7215548381209373,2.1135288178920746,0.8203562945127487,5.0,topological,count,2048,5,k=5,0.6714
0.0125,0.9409320876002312,3.0756647884845734,2.1395763754844666,0.784512422978878,5.0,topological,count,2048,5,k=5,0.6714
0.014375,1.1744743064045906,2.087447628378868,2.1605517268180847,0.7547402754426003,5.0,topological,count,2048,5,k=5,0.6714
0.015,0.7840947043150663,3.9439005106687546,2.1722986698150635,0.7250773310661316,5.0,topological,count,2048,5,k=5,0.6714
0.01625,1.003555804491043,3.0307353660464287,2.1841506361961365,0.726471796631813,5.0,topological,count,2048,5,k=5,0.6714
0.0175,1.2179599963128567,3.679421655833721,2.19949209690094,0.7069467604160309,5.0,topological,count,2048,5,k=5,0.6714
0.018125,0.8616230208426714,4.778319299221039,2.206858456134796,0.6922727078199387,5.0,topological,count,2048,5,k=5,0.6714
0.02,0.6139297373592854,4.213304251432419,2.228978991508484,0.6890113726258278,5.0,topological,count,2048,5,k=5,0.6714
0.021875,0.6449067872017622,5.598183110356331,2.2590613961219788,0.6313170418143272,5.0,topological,count,2048,5,k=5,0.6714
0.0225,0.6449319943785667,4.185891419649124,2.256040722131729,0.6593497768044472,5.0,topological,count,2048,5,k=5,0.6714
0.02375,0.765413885936141,7.881990671157837,2.2738181352615356,0.6343332529067993,5.0,topological,count,2048,5,k=5,0.6714
0.025,0.5097201056778431,8.646982550621033,2.3016542494297028,0.5784007459878922,5.0,topological,count,2048,5,k=5,0.6714
0.025625,0.46167198941111565,6.441793113946915,2.3004359304904938,0.5989756062626839,5.0,topological,count,2048,5,k=5,0.6714
0.0275,0.3809203375130892,11.75390139222145,2.3390866219997406,0.5392287261784077,5.0,topological,count,2048,5,k=5,0.6714
0.03,0.24172313464805484,16.909059822559357,2.377116173505783,0.48506512492895126,5.0,topological,count,2048,5,k=5,0.6714
0.0325,0.40012489818036556,13.346552282571793,2.411417782306671,0.4842984639108181,5.0,topological,count,2048,5,k=5,0.6714
0.035,0.2954113567247987,12.09463655948639,2.446944773197174,0.43748958222568035,5.0,topological,count,2048,5,k=5,0.6714
0.0375,0.27519291173666716,14.356054306030273,2.4951571822166443,0.373217660933733,5.0,topological,count,2048,5,k=5,0.6714
0.04,0.30026036873459816,11.967113584280014,2.529236316680908,0.3945940397679806,5.0,topological,count,2048,5,k=5,0.6714
0.045,0.3091586045920849,11.703487515449524,2.6207436621189117,0.29272367618978024,5.0,topological,count,2048,5,k=5,0.6714
0.05,0.27342982590198517,11.186371743679047,2.707944005727768,0.2488341424614191,5.0,topological,count,2048,5,k=5,0.6714
0.055,0.3517995551228523,8.11729520559311,2.793534368276596,0.20974760130047798,5.0,topological,count,2048,5,k=5,0.6714
0.06,0.3525637872517109,9.20660251379013,2.885143667459488,0.19088752940297127,5.0,topological,count,2048,5,k=5,0.6714
0.065,0.5475973561406136,5.953797876834869,2.9824159741401672,0.14979687333106995,5.0,topological,count,2048,5,k=5,0.6714
0.07,0.5327508486807346,6.08780825138092,3.05706250667572,0.14068079181015491,5.0,topological,count,2048,5,k=5,0.6714
0.08,1.0613592118024826,3.3409618586301804,3.1843705773353577,0.10644937958568335,5.0,topological,count,2048,5,k=5,0.6714
0.09,1.6543559432029724,2.0206359773874283,3.235258787870407,0.08031395636498928,5.0,topological,count,2048,5,k=5,0.6714
0.1,2.297940105199814,1.438536897301674,3.205962836742401,0.06644494226202369,5.0,topological,count,2048,5,k=5,0.6714
0.12,3.4119911789894104,0.8915469869971275,3.0083719193935394,0.0503039569593966,5.0,topological,count,2048,5,k=5,0.6714
0.14,4.237766414880753,0.6652135699987411,2.769089311361313,0.04202289180830121,5.0,topological,count,2048,5,k=5,0.6714
0.16,5.199116110801697,0.4971539080142975,2.539389491081238,0.03638903424143791,5.0,topological,count,2048,5,k=5,0.6714
0.18,5.736713767051697,0.4145098179578781,2.3355058133602142,0.033241737401112914,5.0,topological,count,2048,5,k=5,0.6714
0.2,5.827153146266937,0.37191810458898544,2.1558845341205597,0.03093429608270526,5.0,topological,count,2048,5,k=5,0.6714
0.005,14.804459244012833,0.4175384249538183,2.0349085927009583,0.9328502863645554,8.72929310798645,metric,count,2048,5,k=5,0.6714
0.006875,14.95402267575264,0.20240128599107265,2.04596808552742,0.9140231683850288,7.994775235652924,metric,count,2048,5,k=5,0.6714
0.0075,12.198425777256489,0.558371065184474,2.0510480403900146,0.9012653604149818,8.196556389331818,metric,count,2048,5,k=5,0.6714
0.00875,9.320672869682312,0.316152011975646,2.0590644478797913,0.8938543051481247,7.3283469676971436,metric,count,2048,5,k=5,0.6714
0.01,10.434801936149597,0.2505434723570943,2.0692417323589325,0.8818752318620682,7.468943893909454,metric,count,2048,5,k=5,0.6714
0.010625,5.543712139129639,0.5321835335344076,2.0719989836215973,0.8666504472494125,6.903735160827637,metric,count,2048,5,k=5,0.6714
0.0125,7.679618060588837,0.35585217271000147,2.086018681526184,0.8516334891319275,7.019218564033508,metric,count,2048,5,k=5,0.6714
0.014375,4.031566247344017,0.6362339369952679,2.1011069118976593,0.8197493925690651,6.686655163764954,metric,count,2048,5,k=5,0.6714
0.015,4.835218593478203,0.6139764357358217,2.1055357456207275,0.8229263573884964,7.114645838737488,metric,count,2048,5,k=5,0.6714
0.01625,2.9801379293203354,0.7717720530927181,2.1152171790599823,0.8023984804749489,6.609704434871674,metric,count,2048,5,k=5,0.6714
0.0175,2.3090663999319077,1.0335791781544685,2.127609759569168,0.7806002348661423,6.321843087673187,metric,count,2048,5,k=5,0.6714
0.018125,1.925876747816801,1.7192749753594398,2.1327508091926575,0.7638652622699738,6.422938168048859,metric,count,2048,5,k=5,0.6714
0.02,2.8339365422725677,0.8653945177793503,2.1448716521263123,0.7557972446084023,6.287667095661163,metric,count,2048,5,k=5,0.6714
0.021875,1.988508440554142,1.355003871023655,2.160524398088455,0.7232200428843498,6.343980550765991,metric,count,2048,5,k=5,0.6714
0.0225,2.0608322769403458,1.2660633474588394,2.1691522300243378,0.7207898870110512,6.19746321439743,metric,count,2048,5,k=5,0.6714
0.02375,1.668668121099472,1.7223879843950272,2.178936392068863,0.6958384662866592,6.169426202774048,metric,count,2048,5,k=5,0.6714
0.025,1.7018540785647929,10.912845626473427,2.190478265285492,0.6638744994997978,6.133017480373383,metric,count,2048,5,k=5,0.6714
0.025625,2.092059649527073,1.6545678786933422,2.193257987499237,0.6880367398262024,5.956467092037201,metric,count,2048,5,k=5,0.6714
0.0275,1.2312515676021576,2.0768607407808304,2.210827022790909,0.6480269655585289,5.770327031612396,metric,count,2048,5,k=5,0.6714
0.03,1.150362253189087,2.130985766649246,2.2338946163654327,0.6047681048512459,5.6492356061935425,metric,count,2048,5,k=5,0.6714
0.0325,1.0585674084722996,2.8615845888853073,2.2597793638706207,0.5791104584932327,5.633480072021484,metric,count,2048,5,k=5,0.6714
0.035,0.6051571704447269,5.972176015377045,2.2835990488529205,0.5209467113018036,5.672208189964294,metric,count,2048,5,k=5,0.6714
0.0375,0.6053838413208723,6.217263489961624,2.310231477022171,0.5037262700498104,5.522801339626312,metric,count,2048,5,k=5,0.6714
0.04,0.5748078282922506,4.981549978256226,2.341720372438431,0.42878570035099983,5.158239662647247,metric,count,2048,5,k=5,0.6714
0.045,0.6246186774224043,5.257745489478111,2.3871711790561676,0.33859220892190933,4.903685212135315,metric,count,2048,5,k=5,0.6714
0.05,0.3592677991837263,7.5851940512657166,2.4430587589740753,0.23378895968198776,4.60566645860672,metric,count,2048,5,k=5,0.6714
0.055,0.4540064334869385,6.350089281797409,2.4864474534988403,0.1505030794069171,4.15506586432457,metric,count,2048,5,k=5,0.6714
0.06,0.5845676511526108,4.4377374947071075,2.5142078697681427,0.12609479296952486,3.7925889790058136,metric,count,2048,5,k=5,0.6714
0.065,1.3594314754009247,2.121123731136322,2.5298174023628235,0.08256324753165245,3.345914214849472,metric,count,2048,5,k=5,0.6714
0.07,1.792133867740631,1.5065120458602905,2.537299484014511,0.06647903751581907,3.092535376548767,metric,count,2048,5,k=5,0.6714
0.08,3.382811188697815,0.7632404789328575,2.492140680551529,0.04703103890642524,2.5176097452640533,metric,count,2048,5,k=5,0.6714
0.09,5.267064273357391,0.4706611968576908,2.421002060174942,0.03835632698610425,2.185609072446823,metric,count,2048,5,k=5,0.6714
0.1,6.31887811422348,0.3778159134089947,2.3329688608646393,0.03297141520306468,1.9521227478981018,metric,count,2048,5,k=5,0.6714
0.12,7.492159783840179,0.29571026749908924,2.1877438724040985,0.02914658165536821,1.755661591887474,metric,count,2048,5,k=5,0.6714
0.14,7.496869802474976,0.2769920136779547,2.0543990433216095,0.02647170750424266,1.62329463660717,metric,count,2048,5,k=5,0.6714
0.16,8.13173621892929,0.2413641605526209,1.9399393498897552,0.025418698089197278,1.551145002245903,metric,count,2048,5,k=5,0.6714
0.18,8.436505854129791,0.22180621698498726,1.8379477709531784,0.0244706601370126,1.4973974376916885,metric,count,2048,5,k=5,0.6714
0.2,8.119215369224548,0.21742867678403854,1.7501414865255356,0.02379405195824802,1.468461886048317,metric,count,2048,5,k=5,0.6714
